country_code,admin_level,admin1,admin2,fips,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08
US,2,"Missouri","Atchison County","29005",8.765,12.033,13.286,11.163,14.215,15.251,18.27,11.921,14.545,11.274,13.715,13.066,25.848,15.856,3.359,10.673,8.952,10.802,15.01,10.116,7.012,1.111,10.908,11.562,11.69,8.615,11.695,10.932,3.671,8.897,11.355,11.661,9.926,3.727,3.239,2.766,11.78,8.277,12.82
US,2,"Missouri","Audrain County","29007",4.244,5.01,5.478,4.274,5.784,6.441,5.055,3.051,4.581,4.995,5.324,4.874,6.618,4.342,2.265,4.291,4.296,3.584,4.292,3.791,1.224,0.058,2.668,1.663,1.759,1.654,2.292,0.102,0.427,1.618,2.552,2.416,2.084,2.056,0.565,0.519,1.585,2.942,2.427
US,2,"Missouri","Barry County","29009",5.688,6.342,7.066,7.442,5.954,8.763,10.092,4.472,5.97,6.456,7.031,7.121,7.033,4.465,3.976,4.22,3.728,3.32,2.787,3.296,2.468,1.863,3.166,2.296,2.913,3.584,3.428,1.834,2.021,2.246,2.704,2.274,2.566,2.748,1.998,0.906,2.13,2.352,2.863
US,2,"Missouri","Barton County","29011",10.736,10.231,10.874,11.304,9.722,15.647,18.492,11.655,14.357,19.159,21.553,16.621,15.972,12.927,5.96,10.944,4.188,7.054,6.39,10.049,2.911,2.313,6.638,6.893,5.384,7.265,6.961,2.971,2.831,5.111,4.169,10.167,6.77,5.673,2.578,2.802,3.194,4.548,8.027
US,2,"Missouri","Bates County","29013",8.069,15.663,23.49,23.338,17.66,26.596,23.372,4.96,15.998,14.798,22.152,15.144,17.144,15.602,2.97,10.788,14.864,12.039,12.291,14.95,6.206,1.201,8.131,4.256,6.272,7.949,9.03,3.726,2.949,2.976,4.021,6.436,7.419,5.087,3.489,0.372,4.658,6.012,6.264
US,2,"Missouri","Benton County","29015",10.491,14.179,10.777,12.188,10.756,12.089,9.155,9.542,11.355,12.402,13.144,11.45,11.039,6.251,3.928,11.53,7.495,7.455,5.354,8.435,4.005,1.158,5.357,3.09,5.022,4.181,3.583,1.738,5.456,7.937,3.981,3.636,6.982,4.272,1.038,1.526,3.838,3.672,4.955
US,2,"Missouri","Bollinger County","29017",5.891,21.902,24.932,20.057,20.715,24.524,24.83,9.086,17.761,16.384,18.649,19.194,24.094,8.012,10.566,17.342,15.422,12.516,9.913,20.619,10.395,1.43,7.137,4.843,10.448,10.608,8.52,1.147,3.506,3.751,7.11,4.633,11.507,10.025,1.697,1.565,5.943,7.305,5.248
US,2,"Missouri","Boone County","29019",4.593,5.316,5.148,5.384,5.591,6.335,5.599,4.62,4.999,5.381,5.856,5.703,6.353,4.516,3.026,5.426,5.276,3.982,3.497,4.088,1.58,0.052,2.149,1.582,1.101,1.371,1.729,0.184,0.123,1.058,1.481,1.808,1.993,2.085,0.416,0.066,0.981,1.933,1.888
US,2,"Missouri","Buchanan County","29021",4.053,4.323,4.459,4.336,4.395,5.109,4.821,4.055,4.097,4.416,4.594,4.586,4.893,4.021,3.136,4.092,3.979,3.861,3.67,3.736,2.845,1.035,3.314,2.257,2.401,2.9,3.007,2.087,1.331,2.53,3.037,2.998,2.872,2.413,1.774,1.395,2.29,3.128,2.562
US,2,"Missouri","Butler County","29023",4.754,6.228,7.0,6.619,6.398,7.685,6.588,5.36,5.852,6.13,6.43,5.849,6.71,5.159,4.823,6.139,5.96,5.29,5.178,5.72,3.71,1.988,4.318,4.361,4.156,5.04,4.804,2.899,2.892,3.961,3.737,4.645,4.203,4.691,3.441,2.356,3.955,4.679,3.979
US,2,"Missouri","Caldwell County","29025",11.193,21.048,22.412,22.944,22.772,21.301,18.37,11.299,19.689,18.694,25.748,22.8,26.502,6.558,6.621,16.038,19.84,17.986,20.329,18.407,2.019,0.548,10.021,12.18,14.614,4.48,10.947,4.976,1.114,11.474,12.033,12.465,8.516,3.992,2.106,3.489,10.53,8.83,11.971
